1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
8/3nkp1Q/p4p2/1p2p2P/4N1q1/1P4P1/P4PK1/8, f5, f3, black
